Topic,Count,Name,Representation,Representative_Docs
-1,240,-1_jl_topper_bent_ja,"['jl', 'topper', 'bent', 'ja', 'braakgevoel', 'vriendekijke', 'beangstigend', '09', 'doen', '1x']","['Afgelopen donderdag heb ik de tijdens de remicade de derde keer bloed laten prikken vanwege de purinethol spiegel.', 'Ik heb van de huisarts betablokkers gekregen.', 'Ik dacht zelf dat er al iets gepland was of dat ik daar contact voor moest opnemen.']"
0,2231,0_pijn_toilet_buikpijn_gevoel,"['pijn', 'toilet', 'buikpijn', 'gevoel', 'buik', 'last', 'veel', 'wc', 'diarree', 'krampen']","['Wel moet ik de afgelopen weken vaker naar het toilet, soms 2-4x per dag.', 'Ik ga weer iets minder naar het toilet.', 'Meestal maar 1x per dag naar toilet.']"
1,828,1_kunt_zouden_kunnen_sturen,"['kunt', 'zouden', 'kunnen', 'sturen', 'mij', 'doorgeven', 'jullie', 'willen', 'wilt', 'recept']","['Wilt u een recept naar de apotheek in  sturen ?', 'Kunt u een recept naar de apotheek sturen?', 'Zouden jullie een nieuw recept naar mijn apotheek in  willen sturen?']"
2,834,2_recept_nieuw_herhaalrecept_nethol,"['recept', 'nieuw', 'herhaalrecept', 'nethol', 'aanvragen', 'herhaal', 'puri', 'apotheek', 'pentasa', 'graag']","['Ik wil graag weer een nieuw recept puri-nethol aanvragen.', 'Mijn purinethol is weer bijna op, dus ik wil graag een nieuw recept aanvragen.', 'En graag een nieuw recept voor de purinetrol .mvr']"
3,603,3_ziekenhuis_in_apotheek_naar,"['ziekenhuis', 'in', 'apotheek', 'naar', 'het', 'bij', 'gestuurd', 'komen', 'prikken', 'ophalen']","['8 januari moet ik weer naar het [ZIEKENHUIS].', 'Nee in het [ZIEKENHUIS] ongeveer 10 december,', 'Heeft [ZIEKENHUIS] nog een locatie?']"
4,395,4_snelle_dank_reactie_bedankt,"['snelle', 'dank', 'reactie', 'bedankt', 'antwoord', 'je', 'voor', 'uw', 'dankjewel', 'hulp']","['Heel erg bedankt voor je snelle reactie!', 'Hsallo ,  Bedankt voor uw snelle reactie.', 'bedankt voor de snelle reactie,']"
5,370,5_rekening_infusie_overleg_schrijven,"['rekening', 'infusie', 'overleg', 'schrijven', 'houden', 'vraag', 'mee', 'nadelen', 'zuiderland', 'huisarts']","['Daarom overleg ik graag vandaag nog (d.w.z.', 'Ter info voor het overleg v.w.b.', 'Ik heb vandaag terugkoppeling ontvangen van bevolkingsonderzoek en wordt opgeroepen voor een intake n.a.v.']"
6,591,6_last_veel_sinds_buikpijn,"['last', 'veel', 'sinds', 'buikpijn', 'van', 'buik', 'darmen', 'heb', 'gewrichten', 'laatste']","['Heb al een twee weken weer last.', 'Terwijl ik zondag weer meer last had.', 'Ik heb erg last van hooikoortsklachten.']"
7,377,7_ingeleverd_ontlasting_geprikt_bloed,"['ingeleverd', 'ontlasting', 'geprikt', 'bloed', 'prikken', 'laten', 'afgegeven', 'geleden', 'vorige', 'heb']","['Op  heb ik bloed laten prikken en ontlasting ingeleverd.', 'Afgelopen vrijdag heb ik bloed laten prikken en ontlasting ingeleverd.', 'ik heb in augustus in  bloed laten prikken en ontlasting ingeleverd.']"
8,318,8_apotheek_kijken_waarden_of,"['apotheek', 'kijken', 'waarden', 'of', 'recept', 'te', 'om', 'weet', 'niet', 'chronisch']","['Om dit te voorkomen heb ja vaker een antibiotica voorgeschreven (ben de naam vergeten) Wil je aub dit recept als het kan zo snel mogelijk naar Apotheek  sturen  DankBen bang dat er ontsteking', 'Omdat ze niet op chronisch staan heb ik dus een recept nodig van jullie om ze bij de apotheek te bestellen.', 'Omdat  ze niet op chronisch staan heb ik dus een recept nodig van jullie om ze bij de apotheek te bestellen.']"
