min_cluster_size,n_components,n_neighbors,diversity_score,c_v_score,document_coverage,number_of_topics,model_name
10,5,10,0.5684024713150927,0.3546741192821095,0.6222913981371142,593,mpnet
10,5,20,0.5938257993384785,0.3550827622059698,0.6095722172231814,473,mpnet
10,5,30,0.5982843137254902,0.359043782743249,0.5997957148763345,426,mpnet
10,5,40,0.5974162931716319,0.3636973457633317,0.5773243512731341,399,mpnet
10,7,10,0.5713777144891421,0.3564756419110928,0.6511345120260706,590,mpnet
10,7,20,0.5969789842381786,0.3597447602438556,0.6211726938884701,477,mpnet
10,7,30,0.600663192799621,0.3602484894744719,0.5812641358009679,440,mpnet
10,7,40,0.603965562222802,0.3566798596907454,0.5865901408108174,399,mpnet
10,10,10,0.5685462078904702,0.3541398192694092,0.6517911427807096,582,mpnet
10,10,20,0.5943661971830986,0.360639694533147,0.6055108344074516,484,mpnet
10,10,30,0.5944540727902946,0.3589429336795894,0.5967800773365111,424,mpnet
10,10,40,0.6032821047147695,0.3586573810238467,0.5746978282545782,400,mpnet
10,15,10,0.569702434625789,0.3555442561426497,0.6355942508329483,581,mpnet
10,15,20,0.595103986135182,0.3602505625935322,0.6047569250224957,482,mpnet
10,15,30,0.5903701911444471,0.3640742706934674,0.586444222865342,434,mpnet
10,15,40,0.5971279373368146,0.3659859725277971,0.5637053430287702,404,mpnet
15,5,10,0.6224944320712695,0.3627715415216422,0.6823366327002116,372,mpnet
15,5,20,0.6193901035673187,0.3586994832572499,0.5835988229285731,358,mpnet
15,5,30,0.6178940568475452,0.3610380088135235,0.5766434008609159,320,mpnet
15,5,40,0.624374553252323,0.3588010854565795,0.5956370534302877,291,mpnet
40,7,10,0.6750645994832042,0.3709077301476275,0.6117366667477322,156,mpnet
40,7,20,0.6931905126243305,0.3754609646459473,0.6094506189352854,132,mpnet
40,7,30,0.6792890262751159,0.3786349504581451,0.6007928208370826,131,mpnet
40,7,40,0.6881028938906752,0.3829826645659077,0.5848148058075342,126,mpnet
40,10,10,0.6697490092470277,0.3783490227591236,0.6224616357401688,153,mpnet
40,10,20,0.6908284023668639,0.377179881333894,0.6147036649723971,137,mpnet
40,10,30,0.6804915514592934,0.3791178606125343,0.6022763199494151,132,mpnet
40,10,40,0.6917922948073701,0.3856282029967024,0.5938860380845837,121,mpnet
40,15,10,0.6794871794871795,0.3743590490323395,0.6189839247063401,150,mpnet
40,15,20,0.6935975609756098,0.3797316731960697,0.5990418054913786,133,mpnet
40,15,30,0.6846275752773375,0.3823029276246757,0.6029086310464749,128,mpnet
40,15,40,0.7035175879396985,0.3817392744211023,0.6013278533038254,121,mpnet
15,7,10,0.6191950464396285,0.3609326333716087,0.6997738271845132,368,mpnet
15,7,20,0.6151364036374304,0.3606365966608555,0.5957829713757631,351,mpnet
15,7,30,0.6236922038474519,0.3562273084601061,0.627982198010652,305,mpnet
15,7,40,0.6237226277372263,0.3550391188141317,0.6145820666845011,284,mpnet
15,10,10,0.6218961625282167,0.3571337777020419,0.6938398307351833,366,mpnet
15,10,20,0.6171567141558048,0.366381909661756,0.6007198618643449,340,mpnet
15,10,30,0.6191232528589581,0.358479074350489,0.5759867701062769,326,mpnet
15,10,40,0.6255458515283843,0.3560310020134959,0.6074807266713684,285,mpnet
