,Model,Min Cluster Size,Diversity Score
0,stv1,5,0.45529411764705885
1,stv1,10,0.6101694915254238
2,stv1,15,0.634862385321101
3,stv1,20,0.6473913043478261
4,stv1,25,0.6510869565217391
5,stv1,30,0.6462025316455696
6,stv2,5,0.4331223628691983
7,stv2,10,0.5622559652928416
8,stv2,15,0.6030395136778115
9,stv2,20,0.62421875
10,stv2,25,0.6322274881516587
11,stv2,30,0.6333333333333333
12,mini,5,0.43921370967741935
13,mini,10,0.575054229934924
14,mini,15,0.6057377049180328
15,mini,20,0.6365671641791045
16,mini,25,0.6564315352697095
17,mini,30,0.6639784946236559
18,mpnet,5,0.42268656716417913
19,mpnet,10,0.5618217054263566
20,mpnet,15,0.5940217391304348
21,mpnet,20,0.6326086956521739
22,mpnet,25,0.6622727272727272
23,mpnet,30,0.6614525139664804
24,robbert,5,0.47555803571428573
25,robbert,10,0.5948616600790514
26,robbert,15,0.6367688022284123
27,robbert,20,0.6511705685618729
28,robbert,25,0.6820083682008368
29,robbert,30,0.6877828054298643
30,e5,5,0.4206364513018322
31,e5,10,0.5485772357723577
32,e5,15,0.5909356725146199
33,e5,20,0.6015209125475285
34,e5,25,0.6235576923076923
35,e5,30,0.6128834355828221
