,Model,Parameter,Parameter_Value,min_cluster_size,diversity_score,outlier proportion,number of topics,weighted_avg_sim,unweighted_avg_sim
0,stv1,min_cluster_size,5,5,0.458804347826087,0.40224713636032006,920,0.49522168706696196,0.5633058
1,stv1,min_cluster_size,10,10,0.5913319238900634,0.4226513290692867,473,0.47017064262385516,0.54940766
2,stv1,min_cluster_size,15,15,0.6336569579288026,0.4166200539896398,309,0.44844200523849403,0.5299156
3,stv1,min_cluster_size,20,20,0.6390756302521008,0.41924657700819573,238,0.43449709474903153,0.5083395
4,stv1,min_cluster_size,25,25,0.6473404255319148,0.4101996643887254,188,0.41638001535439895,0.49022302
5,stv1,min_cluster_size,30,30,0.65,0.4000097278630317,154,0.40037548062450656,0.47534436
6,stv1,min_cluster_size,35,35,0.6383458646616541,0.406746273012476,133,0.3939791413474114,0.4670149
7,stv2,min_cluster_size,5,5,0.4339896373056995,0.37965417446922345,966,0.5465567690712149,0.6211506
8,stv2,min_cluster_size,10,10,0.5670212765957446,0.3935893382621173,470,0.5175702172791478,0.6050816
9,stv2,min_cluster_size,15,15,0.6034591194968554,0.37106933534375836,318,0.48931562478878554,0.5891107
10,stv2,min_cluster_size,20,20,0.6306201550387597,0.39410005107128093,258,0.48550548388007325,0.56853163
11,stv2,min_cluster_size,25,25,0.6190243902439024,0.40844864904302147,205,0.47572887326454255,0.5526638
12,stv2,min_cluster_size,30,30,0.6215568862275449,0.4038279141029694,167,0.4645245062703846,0.5391184
13,stv2,min_cluster_size,35,35,0.6407894736842106,0.4215083051630633,152,0.46265504876837715,0.53029215
14,mini,min_cluster_size,5,5,0.4415873015873016,0.3319390062987913,946,0.6501888737782244,0.71255976
15,mini,min_cluster_size,10,10,0.5620754716981132,0.36306816800019454,530,0.6435893047352063,0.701359
16,mini,min_cluster_size,15,15,0.6027397260273972,0.3332036284929108,365,0.6201297058178008,0.6814908
17,mini,min_cluster_size,20,20,0.6507575757575758,0.3068168000194557,264,0.5933549160313758,0.65656567
18,mini,min_cluster_size,25,25,0.6530701754385965,0.31678785962693645,228,0.5810162903079233,0.64812857
19,mini,min_cluster_size,30,30,0.6586387434554973,0.34842773413750333,191,0.5848499484511499,0.6340541
20,mini,min_cluster_size,35,35,0.6812903225806451,0.3323767601352173,155,0.5755297595747146,0.61532325
21,mpnet,min_cluster_size,5,5,0.42555879494655,0.38121063255429366,1030,0.701598328509396,0.7437765
22,mpnet,min_cluster_size,10,10,0.5645669291338583,0.37634670103844936,508,0.6732967856140074,0.7271168
23,mpnet,min_cluster_size,15,15,0.598300283286119,0.35428877161409567,353,0.6487018980933584,0.7171733
24,mpnet,min_cluster_size,20,20,0.6429090909090909,0.3484034144799241,275,0.6364005181786996,0.6968202
25,mpnet,min_cluster_size,25,25,0.66,0.35227024003502033,215,0.6300605524877103,0.6763577
26,mpnet,min_cluster_size,30,30,0.6518918918918919,0.37627374206571174,185,0.6301383966299768,0.6744224
27,mpnet,min_cluster_size,35,35,0.6734177215189874,0.3819888615968287,158,0.6230739021822447,0.6635725
28,robbert,min_cluster_size,5,5,0.46435536294691226,0.334760086577981,923,0.5714754959448672,0.60927874
29,robbert,min_cluster_size,10,10,0.5909980430528375,0.30538194022228166,511,0.5482005347264229,0.59037995
30,robbert,min_cluster_size,15,15,0.6397790055248619,0.3005423283640166,362,0.5334461965121479,0.5731905
31,robbert,min_cluster_size,20,20,0.6586805555555556,0.2914710960869671,288,0.5239531239806039,0.5552504
32,robbert,min_cluster_size,25,25,0.6808163265306122,0.2994479437729517,245,0.5149919822722071,0.5408993
33,robbert,min_cluster_size,30,30,0.688479262672811,0.2905712687565359,217,0.5061328995440724,0.52758193
34,robbert,min_cluster_size,35,35,0.6921875,0.2992290668547387,192,0.5032323079743817,0.5220049
35,e5,min_cluster_size,5,5,0.4039697542533081,0.4647972956540772,1058,0.901432194359089,0.90974474
36,e5,min_cluster_size,10,10,0.5518145161290322,0.47219047155816046,496,0.8934405109126881,0.907627
37,e5,min_cluster_size,15,15,0.6017543859649123,0.48272088328996327,342,0.8901189499944939,0.90373284
38,e5,min_cluster_size,20,20,0.6042471042471043,0.4866363481602179,259,0.8861196625548382,0.9017609
39,e5,min_cluster_size,25,25,0.6118226600985222,0.4854203652812568,203,0.8815121929521252,0.8986243
40,e5,min_cluster_size,30,30,0.6159509202453988,0.517741190204042,163,0.8820132859475794,0.894576
41,e5,min_cluster_size,35,35,0.5727272727272728,0.0031858751428779884,11,0.8136762203376934,0.9467046
