,Model,Parameter,Parameter_Value,n_components,diversity_score,outlier proportion,number of topics,weighted_avg_sim,unweighted_avg_sim
0,stv1,n_components,5,5,0.6390756302521008,0.41924657700819573,238,0.43449709474903153,0.5083395
1,stv1,n_components,6,6,0.6563318777292576,0.40137162868746806,229,0.4261500874507386,0.50988066
2,stv1,n_components,7,7,0.6362869198312237,0.4164011770714268,237,0.4323286706692786,0.51633483
3,stv1,n_components,8,8,0.6489626556016598,0.41827379070502685,241,0.4337235665789815,0.51090306
4,stv1,n_components,9,9,0.6520491803278688,0.4280746127094531,244,0.43753617888770907,0.5119611
5,stv1,n_components,10,10,0.6497942386831276,0.4226270094117075,243,0.4368849120135657,0.5117997
6,stv2,n_components,5,5,0.6306201550387597,0.39410005107128093,258,0.48550548388007325,0.56853163
7,stv2,n_components,6,6,0.6279352226720648,0.3764682993263455,247,0.47693625924539734,0.564894
8,stv2,n_components,7,7,0.6197628458498023,0.3850288187942314,253,0.4804133738382962,0.5741909
9,stv2,n_components,8,8,0.6184615384615385,0.41457720275298526,260,0.49085420403653063,0.56729156
10,stv2,n_components,9,9,0.621285140562249,0.4028794474573798,249,0.4856959187401359,0.57088566
11,stv2,n_components,10,10,0.6261044176706827,0.3893577178433328,249,0.48244043043819235,0.5688637
12,mini,n_components,5,5,0.6507575757575758,0.3068168000194557,264,0.5933549160313758,0.65656567
13,mini,n_components,6,6,0.6437262357414448,0.2934896276660425,263,0.5911417485067206,0.6577097
14,mini,n_components,7,7,0.6423357664233577,0.32600500984946135,274,0.6010762942880833,0.66203386
15,mini,n_components,8,8,0.6342307692307693,0.29813468226367373,260,0.5927986909883847,0.65893495
16,mini,n_components,9,9,0.6327586206896552,0.3705829421921739,290,0.614173891390638,0.66510314
17,mini,n_components,10,10,0.640530303030303,0.2935382669812009,264,0.590515286812721,0.6608303
18,mpnet,n_components,5,5,0.6429090909090909,0.3484034144799241,275,0.6364005181786996,0.6968202
19,mpnet,n_components,6,6,0.6363970588235294,0.36294656971229844,272,0.6427188589716714,0.69943553
20,mpnet,n_components,7,7,0.6351648351648351,0.35873926895109315,273,0.6377117947168938,0.7011903
21,mpnet,n_components,8,8,0.6339416058394161,0.3685644106130986,274,0.6431039320937733,0.7013074
22,mpnet,n_components,9,9,0.6346570397111914,0.3674213867068752,277,0.6405325655357716,0.7023301
23,mpnet,n_components,10,10,0.6329787234042553,0.3630438483426153,282,0.6429434820419643,0.7040827
24,robbert,n_components,5,5,0.6543624161073825,0.3122887229747805,298,0.5311217717549717,0.5571538
25,robbert,n_components,6,6,0.6565068493150685,0.31155913324740386,292,0.5304424962966106,0.5549009
26,robbert,n_components,7,7,0.6570446735395189,0.31260487852331037,291,0.5279129243521232,0.55684763
27,robbert,n_components,8,8,0.6526501766784453,0.289039130329045,283,0.5202027654200496,0.5575119
28,robbert,n_components,9,9,0.6573883161512027,0.309151487147061,291,0.5284915239559911,0.5567067
29,robbert,n_components,10,10,0.6486754966887417,0.3296286388287653,302,0.5328907606856005,0.56192595
30,e5,n_components,5,5,0.6042471042471043,0.4866363481602179,259,0.8861196625548382,0.9017609
31,e5,n_components,6,6,0.6041509433962264,0.48520148836304383,265,0.8861834788730175,0.90120363
32,e5,n_components,7,7,0.5962686567164179,0.4964614898222233,268,0.8874686306238577,0.90134877
33,e5,n_components,8,8,0.6022222222222222,0.4967776453707532,270,0.8879282297334288,0.9001255
34,e5,n_components,9,9,0.599624060150376,0.4934701719399791,266,0.8876326993059146,0.90024376
35,e5,n_components,10,10,0.6133587786259542,0.49021133782436344,262,0.8868426756229397,0.9000546
