Topic,Count,Name,Representation
0,2928,0_bloed_prikken_ontlasting_bloedprikken,"['bloed', 'prikken', 'ontlasting', 'bloedprikken', 'laten', 'bloeduitslagen', 'ingeleverd', 'geprikt', 'inleveren', 'slijm']"
1,1591,1_huisarts_arts_dokter_ziekenhuis,"['huisarts', 'arts', 'dokter', 'ziekenhuis', 'mdl', 'verpleegkundige', 'contact', 'afspraak', 'medische', 'behandeling']"
2,986,2_apotheek_recept_sturen_faxen,"['apotheek', 'recept', 'sturen', 'faxen', 'nieuw', 'bestellen', 'ophalen', 'doorsturen', 'medicijnen', 'herhaalrecept']"
3,1046,3_medicatie_medicijn_medicijnen_bijwerkingen,"['medicatie', 'medicijn', 'medicijnen', 'bijwerkingen', 'gebruik', 'zetpillen', 'stoppen', 'gebruiken', 'bijwerking', 'dosering']"
4,574,4_test_thuistest_testen_gedaan,"['test', 'thuistest', 'testen', 'gedaan', 'zelftest', 'thuis', 'thuistesten', 'ontlastingtest', 'uitvoeren', 'nieuwe']"
5,527,5_toilet_vaker_keer_rennen,"['toilet', 'vaker', 'keer', 'rennen', 'slijm', 'toiletbezoek', 'gaan', 'gemiddeld', 'zit', 'hoef']"
6,659,6_pijn_gewrichten_benen_rug,"['pijn', 'gewrichten', 'benen', 'rug', 'pijnlijk', 'last', 'handen', 'onderbuik', 'pijnlijke', 'linker']"
7,501,7_calprotectine_calpro_thuistest_waarde,"['calprotectine', 'calpro', 'thuistest', 'waarde', 'test', 'uitslag', 'bekend', 'gedaan', 'gemeten', 'meten']"
8,659,8_daags_tabletten_tablet_dgs,"['daags', 'tabletten', 'tablet', 'dgs', 'prednisolon', 'prednison', 'omeprazol', 'gebruik', 'azathioprine', 'gram']"
9,446,9_humira_spuit_spuiten_zetten,"['humira', 'spuit', 'spuiten', 'zetten', 'injectie', 'gebruik', 'gespoten', 'prik', 'injecties', 'gestart']"
10,685,10_vind_echt_gaat_helaas,"['vind', 'echt', 'gaat', 'helaas', 'vervelend', 'helemaal', 'mis', 'goed', 'moedeloos', 'absoluut']"
11,453,11_prima_goed_blij_fijn,"['prima', 'goed', 'blij', 'fijn', 'nieuws', 'gelukkig', 'orde', 'gaat', 'tevreden', 'fantastisch']"
12,485,12_moe_vermoeidheid_slaap_slapen,"['moe', 'vermoeidheid', 'slaap', 'slapen', 'vermoeid', 'wakker', 'energie', 'bed', 'nachten', 'nacht']"
13,387,13_vriendelijke_groet_groeten_groetjes,"['vriendelijke', 'groet', 'groeten', 'groetjes', 'geb', 'vriendelijk', 'hartelijke', 'gebdatum', 'datum', 'groetend']"
14,375,14_vitamine_ijzer_ijzerinfuus_ijzergehalte,"['vitamine', 'ijzer', 'ijzerinfuus', 'ijzergehalte', 'foliumzuur', 'laag', 'vit', 'magnesium', 'tekort', 'vitamines']"
